,gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score
581,female,group B,bachelor's degree,standard,completed,66,74,81
582,female,group D,bachelor's degree,free/reduced,none,73,79,84
583,female,group D,some high school,standard,none,80,90,82
584,female,group A,some high school,free/reduced,none,38,43,43
585,female,group B,associate's degree,standard,completed,52,66,73
586,male,group C,high school,standard,completed,58,52,54
587,female,group C,high school,standard,none,72,80,83
588,female,group C,associate's degree,standard,completed,68,86,84
589,female,group C,bachelor's degree,standard,completed,77,94,95
590,female,group B,some high school,standard,none,82,82,80
591,female,group D,associate's degree,standard,none,76,74,73
592,male,group E,some high school,standard,completed,81,75,76
593,male,group E,associate's degree,free/reduced,completed,46,43,44
594,male,group D,some college,standard,none,88,77,77
595,male,group C,associate's degree,free/reduced,completed,65,73,68
596,female,group B,bachelor's degree,standard,none,97,97,96
597,female,group B,some college,standard,none,82,85,87
598,female,group B,bachelor's degree,standard,completed,65,81,81
599,male,group C,master's degree,standard,completed,91,85,85
600,female,group C,associate's degree,standard,completed,55,72,79
601,female,group D,master's degree,standard,none,92,100,100
602,female,group B,high school,standard,none,81,91,89
603,female,group E,associate's degree,free/reduced,completed,57,68,73
604,female,group C,some college,standard,none,73,80,82
605,female,group D,high school,standard,none,56,52,55
606,female,group D,associate's degree,standard,completed,57,78,79
607,male,group D,associate's degree,free/reduced,none,66,62,64
608,male,group C,high school,standard,completed,53,52,49
609,male,group E,associate's degree,standard,completed,81,81,79
610,male,group C,high school,standard,completed,75,69,68
611,male,group A,high school,standard,completed,72,73,74
612,female,group B,some high school,standard,none,73,79,79
613,female,group E,some college,standard,completed,86,85,91
614,female,group C,bachelor's degree,standard,none,65,79,81
615,male,group D,high school,standard,none,64,54,50
616,female,group B,high school,standard,none,58,68,61
617,male,group D,some high school,standard,none,55,47,44
618,male,group C,associate's degree,free/reduced,completed,78,81,82
619,female,group D,some college,free/reduced,completed,63,80,80
620,male,group D,high school,free/reduced,completed,73,68,66
621,female,group C,high school,standard,none,81,84,82
622,female,group E,high school,standard,none,74,81,71
623,female,group C,associate's degree,standard,none,49,53,53
624,male,group C,bachelor's degree,free/reduced,none,53,58,55
625,male,group D,some college,free/reduced,none,77,62,64
626,female,group D,some college,free/reduced,none,69,65,74
627,male,group E,bachelor's degree,standard,none,82,62,62
628,male,group E,some college,standard,none,76,67,67
629,female,group B,high school,standard,none,42,52,51
630,female,group C,associate's degree,standard,none,85,89,95
631,female,group C,high school,standard,completed,58,75,77
632,female,group C,high school,standard,none,59,72,68
633,female,group C,high school,free/reduced,none,34,42,39
634,male,group C,some college,standard,none,76,78,75
635,female,group D,some high school,standard,none,68,71,75
636,female,group B,some high school,free/reduced,none,72,81,79
637,female,group C,some high school,free/reduced,none,48,56,51
638,male,group C,bachelor's degree,standard,completed,94,90,91
639,male,group D,associate's degree,standard,none,81,71,73
640,female,group A,some high school,standard,completed,92,100,97
641,male,group E,some college,standard,completed,81,74,71
642,female,group C,some high school,free/reduced,completed,29,40,44
643,female,group D,some college,free/reduced,none,58,67,62
644,female,group C,some college,standard,none,73,76,78
645,male,group E,some high school,standard,completed,68,51,57
646,female,group C,high school,free/reduced,completed,50,66,64
647,male,group B,associate's degree,standard,completed,65,65,63
648,male,group C,some college,free/reduced,none,63,61,54
649,female,group C,high school,standard,none,66,71,76
650,female,group E,master's degree,free/reduced,none,56,72,65
651,male,group E,associate's degree,standard,completed,94,85,82
652,female,group C,associate's degree,standard,none,66,77,73
653,female,group C,associate's degree,standard,completed,67,84,86
654,male,group D,bachelor's degree,free/reduced,completed,74,79,75
655,female,group C,bachelor's degree,standard,none,67,69,75
656,male,group C,bachelor's degree,standard,completed,63,64,66
657,male,group D,some college,standard,none,76,64,66
658,male,group A,associate's degree,free/reduced,completed,79,82,82
659,female,group B,some high school,free/reduced,completed,52,67,72
660,female,group A,some high school,standard,none,71,83,77
661,male,group B,bachelor's degree,free/reduced,none,88,75,76
662,male,group D,some college,standard,none,68,59,62
663,female,group D,high school,standard,completed,69,77,78
664,female,group D,some college,standard,none,77,68,77
665,male,group E,bachelor's degree,standard,none,68,68,64
666,female,group B,some high school,standard,none,66,69,68
667,female,group C,associate's degree,standard,none,59,66,67
668,male,group A,associate's degree,free/reduced,none,62,61,55
669,female,group C,high school,standard,none,63,69,74
670,female,group E,high school,free/reduced,none,64,62,68
671,male,group D,master's degree,standard,none,82,82,74
672,male,group B,some college,free/reduced,completed,60,62,60
673,male,group D,some college,standard,none,71,49,52
674,male,group B,associate's degree,free/reduced,completed,58,57,53
675,female,group E,associate's degree,standard,none,100,100,100
676,female,group D,some high school,standard,none,59,58,59
677,female,group C,master's degree,standard,completed,54,64,67
678,female,group A,master's degree,standard,none,50,53,58
679,female,group E,high school,free/reduced,completed,66,74,78
680,male,group C,associate's degree,free/reduced,none,55,61,54
681,female,group C,some college,standard,none,83,83,90
682,male,group A,bachelor's degree,standard,none,66,64,62
683,male,group D,some high school,standard,completed,62,66,68
684,female,group B,high school,standard,none,62,62,63
685,female,group E,associate's degree,free/reduced,completed,83,86,88
686,female,group D,some college,free/reduced,none,60,66,70
687,male,group C,some college,standard,none,53,44,42
688,female,group D,some high school,standard,none,59,72,80
689,male,group C,associate's degree,standard,none,49,51,43
690,female,group C,bachelor's degree,free/reduced,none,50,60,59
691,male,group E,associate's degree,free/reduced,completed,91,73,80
692,male,group B,some college,standard,none,47,43,41
693,male,group B,associate's degree,free/reduced,none,67,62,60
694,female,group B,some high school,standard,none,57,67,72
695,female,group D,some college,free/reduced,none,71,83,83
696,female,group E,associate's degree,standard,completed,65,75,77
697,male,group B,some college,free/reduced,none,54,54,45
698,male,group C,bachelor's degree,free/reduced,none,37,56,47
699,male,group C,high school,free/reduced,none,62,55,55
700,male,group B,some high school,standard,completed,94,86,87
701,male,group D,bachelor's degree,free/reduced,completed,39,42,38
702,female,group E,some college,free/reduced,none,71,76,70
703,female,group D,some college,free/reduced,none,65,81,77
704,female,group E,some college,free/reduced,completed,75,88,85
705,female,group C,some college,free/reduced,none,32,39,33
706,male,group C,some college,standard,none,53,39,37
707,male,group A,some college,standard,none,53,43,43
708,male,group A,bachelor's degree,standard,completed,87,84,87
709,male,group E,bachelor's degree,standard,completed,76,62,66
710,female,group D,bachelor's degree,free/reduced,none,78,90,93
711,male,group D,bachelor's degree,standard,none,75,73,74
712,female,group C,some college,standard,none,58,67,72
713,male,group B,associate's degree,standard,none,48,43,45
714,male,group D,master's degree,standard,none,73,70,75
715,female,group C,some college,standard,completed,69,90,88
716,female,group E,high school,free/reduced,none,57,58,57
717,male,group B,some high school,standard,completed,79,85,86
718,female,group C,some college,standard,none,63,74,74
719,female,group B,associate's degree,standard,none,47,49,50
720,male,group D,some high school,standard,completed,74,71,78
721,male,group E,some college,standard,none,97,87,82
722,female,group B,some high school,free/reduced,none,49,58,55
723,male,group C,master's degree,standard,none,79,78,77
724,male,group C,some high school,free/reduced,none,69,71,65
725,female,group C,associate's degree,free/reduced,none,53,61,62
726,male,group C,high school,standard,completed,69,58,53
727,male,group C,high school,free/reduced,none,27,34,36
728,female,group D,some high school,free/reduced,completed,35,55,60
729,female,group B,some high school,free/reduced,completed,63,78,79
730,male,group B,bachelor's degree,free/reduced,none,48,51,46
731,female,group C,high school,standard,none,72,80,75
732,female,group B,high school,standard,none,66,72,70
733,female,group E,bachelor's degree,standard,none,80,83,83
734,male,group A,some college,standard,completed,78,72,70
735,male,group C,high school,standard,none,71,66,65
736,female,group D,master's degree,standard,none,54,60,63
737,female,group C,associate's degree,free/reduced,none,57,78,67
738,female,group D,some college,standard,none,65,70,71
739,male,group C,high school,free/reduced,completed,53,51,51
740,female,group D,high school,free/reduced,none,39,52,46
741,female,group D,associate's degree,free/reduced,none,55,76,76
742,female,group D,associate's degree,standard,none,59,70,65
743,female,group B,high school,free/reduced,none,60,72,68
744,female,group B,associate's degree,standard,none,49,52,54
745,female,group B,high school,free/reduced,none,8,24,23
746,female,group D,master's degree,free/reduced,none,40,59,54
747,female,group C,bachelor's degree,free/reduced,completed,74,86,89
748,male,group E,some college,standard,none,59,51,43
749,female,group E,bachelor's degree,free/reduced,completed,92,100,100
750,male,group C,some college,free/reduced,none,80,64,66
751,male,group C,bachelor's degree,standard,completed,96,90,92
752,male,group E,some college,standard,completed,85,75,68
753,female,group C,bachelor's degree,standard,none,77,88,87
754,female,group B,high school,free/reduced,completed,76,85,82
755,male,group C,high school,free/reduced,none,66,66,59
756,female,group D,bachelor's degree,standard,completed,71,76,83
757,male,group B,high school,standard,none,60,68,60
758,male,group D,some college,standard,none,76,71,73
759,male,group D,some college,standard,completed,58,59,58
760,female,group B,associate's degree,standard,completed,90,90,91
761,female,group D,some college,standard,completed,74,75,79
762,male,group B,some college,free/reduced,none,75,68,65
763,male,group C,some college,standard,none,69,64,68
764,female,group B,some high school,standard,completed,60,70,70
765,female,group B,some college,free/reduced,completed,65,75,70
766,female,group C,associate's degree,free/reduced,completed,68,67,69
767,male,group B,high school,standard,completed,72,65,68
768,male,group B,associate's degree,free/reduced,completed,82,78,74
769,female,group C,some high school,standard,completed,85,92,93
770,male,group E,associate's degree,standard,none,72,57,62
771,male,group D,some college,standard,completed,76,83,79
772,female,group E,some college,standard,none,67,76,75
773,male,group A,some college,free/reduced,none,75,81,74
774,male,group B,some high school,standard,completed,63,67,67
775,female,group C,associate's degree,standard,none,64,64,70
776,male,group D,associate's degree,standard,completed,67,72,67
777,male,group A,some college,free/reduced,none,58,60,57
778,female,group B,associate's degree,free/reduced,none,53,71,67
779,male,group C,some high school,standard,none,73,66,63
780,male,group D,master's degree,standard,none,89,84,82
781,female,group C,high school,standard,none,65,69,67
782,female,group C,some college,standard,completed,70,72,76
783,female,group D,bachelor's degree,standard,none,65,67,62
784,male,group D,some high school,standard,none,74,74,72
785,female,group D,associate's degree,standard,none,71,71,74
786,female,group E,bachelor's degree,standard,none,100,100,100
787,male,group C,high school,standard,none,71,60,61
788,male,group E,high school,standard,completed,87,91,81
789,female,group D,associate's degree,free/reduced,none,26,31,38
790,male,group B,associate's degree,standard,completed,91,89,92
791,female,group A,associate's degree,standard,none,82,93,93
792,male,group D,high school,standard,none,66,69,63
793,female,group E,bachelor's degree,standard,completed,79,81,82
794,male,group D,some college,standard,completed,63,55,63
795,female,group D,master's degree,standard,none,87,100,100
796,male,group C,bachelor's degree,standard,none,69,63,61
797,female,group C,associate's degree,standard,none,53,62,53
798,male,group C,some college,free/reduced,completed,50,48,53
799,female,group D,associate's degree,standard,none,85,91,89
